start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254282.531521,254283.365596,50.4,42,0.834,116.798,0,0,1,1,0,3,87.12,0,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.MainActivity#0"
254279.211647,254285.702122,33.5,38,1.135,317.096,5.355,1,3,0,0,34,59.02,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254279.161375,254289.788389,30.5,27,0.884,383.621,9.743,3,1,1,0,20,55.08,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254285.702122,254290.405620,30.3,53,1.751,450.3,2.952,3,3,1,0,36,54.04,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254291.856936,254294.542779,47.5,65,1.368,116.818,1.318,2,2,1,0,16,84.21,0,com.comic.manhuatai,"com.comic.manhuatai/com.wbxm.icartoon.ui.GuideActivity#0"
254294.542779,254295.493919,35.7,34,0.951,150.193,0,0,2,1,0,7,68.22,0,com.comic.manhuatai,"com.comic.manhuatai/com.wbxm.icartoon.ui.GuideActivity#0"
254296.011202,254296.561659,43.6,24,0.55,83.37,0,0,0,3,0,11,82.72,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#1"
254297.145563,254297.495905,59.9,21,0.35,16.834,0,0,0,0,0,4,99.9,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#2"
254296.561659,254298.596991,27,36,1.335,66.754,0.701,1,0,14,0,19,64.28,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#1"
254298.596991,254299.597869,21,21,1.001,66.769,0,0,0,11,2,12,57.05,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#1"
254300.298501,254301.082542,26.8,21,0.784,450.52,0,0,1,0,0,5,50.76,0,com.comic.manhuatai,"com.huawei.android.FloatTasks.views.FloatView#0"
254290.405620,254301.599641,46.9,36,0.767,83.392,10.427,1,0,1,0,20,86.71,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254300.548689,254300.965827,50.3,21,0.417,50.034,0,0,0,1,0,5,89.97,1,com.comic.manhuatai,"com.huawei.android.FloatTasks.views.FloatView#0"
254269.754001,254304.085082,60,36,0.6,16.803,33.731,2,0,0,0,6,100,0,com.huawei.android.launcher,"com.huawei.android.FloatTasks.views.FloatView#0"
254301.599641,254304.735747,25.1,52,2.069,433.739,1.067,1,5,0,0,15,48.75,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254304.735747,254305.736751,58.9,59,1.001,33.384,0,0,0,0,0,9,98.9,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254305.736751,254313.761399,32.8,40,1.218,367.068,6.807,4,3,0,0,13,57.5,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254231.873519,254232.941164,15.9,17,1.068,266.828,0,0,3,1,0,11,41.22,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254158.785820,254160.003062,20,12,0.6,200.019,0.617,1,1,4,0,10,46.83,0,com.tencent.qqlive,"SurfaceView - com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254283.732677,254284.400025,30,20,0.667,333.657,0,0,1,0,0,3,55.49,1,com.qq.ac.android,"com.huawei.android.FloatTasks.views.FloatView#0"
254165.622804,254233.274616,30.1,2,0.066,50.049,67.585,1,0,1,0,1,66.6,1,com.netease.onmyoji.huawei,"GestureNavLeft#0"
254143.846460,254161.453964,45.7,16,0.35,100.007,17.257,6,1,0,0,5,85.07,0,com.tencent.qqlive,"StatusBar#0"
254259.528077,254262.464120,12,1,0.083,83.432,2.853,2,0,1,0,0,45,1,com.qiyi.video,"StatusBar#0"
254295.844359,254295.994508,59.9,9,0.15,16.724,0,0,0,0,0,2,99.9,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#0"
254295.510635,254295.827700,37.8,12,0.317,100.041,0,0,1,0,0,5,76.96,1,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#0"
254299.597869,254301.099218,24.9,17,0.684,200.212,0.817,1,1,4,0,11,52.65,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#1"
254280.312380,254280.829374,3.9,2,0.517,333.619,0,0,2,0,0,1,19.89,0,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.SplashActivity#0"
254295.543980,254300.748858,42.8,15,0.35,83.447,4.855,3,0,1,0,4,82.33,1,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#1"
254260.545833,254266.651272,60,4,0.067,16.708,6.039,1,0,0,0,1,100,1,com.qiyi.video,"com.huawei.android.FloatTasks.views.FloatView#0"
254297.495905,254299.581194,6.7,14,2.085,150.202,0,0,14,0,0,13,30.02,0,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#2"
254296.928661,254297.128882,49.9,10,0.2,50.105,0,0,0,1,0,1,89.2,1,com.comic.manhuatai,"com.comic.manhuatai/com.comic.manhuatai.MHTMainActivity#2"
254169.973364,254170.023417,40,2,0.05,33.312,0,0,0,0,0,2,80,1,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.VideoPlayer#0"
254165.289329,254165.306002,60,1,0.017,16.673,0,0,0,0,0,0,100,1,com.huawei.android.launcher,"Splash Screen com.netease.onmyoji.huawei#0"
254166.123179,254170.823536,60,1,0.017,16.661,4.684,1,0,0,0,0,100,1,com.netease.onmyoji.huawei,"com.huawei.hms.game.circle#0"
254167.439796,254231.389653,7,13,1.651,383.371,62.299,30,7,2,0,9,78.76,0,com.netease.onmyoji.huawei,"StatusBar#0"
254233.241328,254233.291290,20,1,0.05,49.962,0,0,0,0,1,1,57,1,com.netease.onmyoji.huawei,"com.huawei.intelligent.Workspace#0"
254289.788389,254290.755867,48,4,0.083,33.343,0.884,1,0,0,0,2,88,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254280.929560,254280.946597,58.7,1,0.017,17.037,0,0,0,0,0,2,98.7,1,com.qq.ac.android,"StatusBar#0"
254291.473193,254295.343391,29.2,18,0.617,166.85,3.253,1,2,0,0,12,60.08,1,com.comic.manhuatai,"com.comic.manhuatai/com.wbxm.icartoon.ui.GuideActivity#0"
254165.522838,254165.606188,48,4,0.083,33.353,0,0,0,0,0,4,88,1,com.netease.onmyoji.huawei,"StatusBar#0"
254290.805938,254291.439839,14.2,9,0.634,250.266,0,0,3,0,0,5,38.86,1,com.comic.manhuatai,"com.comic.manhuatai/com.wbxm.icartoon.ui.CoverActivity#0"
254278.594338,254278.611034,59.9,1,0.017,16.696,0,0,0,0,0,1,99.9,1,com.huawei.android.launcher,"Splash Screen com.qq.ac.android#0"
254165.889623,254165.906308,59.9,1,0.017,16.685,0,0,0,0,0,1,99.9,1,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Launcher#0"
254130.759192,254278.627636,30,8,0.267,116.77,147.602,5,1,0,0,3,65.88,1,com.huawei.android.launcher,"StatusBar#0"
254130.809207,254287.803570,59.9,2,0.033,16.75,156.961,8,0,0,0,4,99.9,1,com.huawei.android.launcher,"GestureNavRight#0"
254260.362323,254264.465659,15,1,0.067,66.734,4.037,2,0,1,0,0,48,0,com.qiyi.video,"StatusBar#0"
254290.772594,254290.789333,59.7,1,0.017,16.739,0,0,0,0,0,2,99.7,1,com.comic.manhuatai,"GestureNavRight#0"
254291.489943,254300.632116,40,4,0.1,50.034,9.042,4,0,1,0,2,78.25,1,com.comic.manhuatai,"StatusBar#0"
254170.073462,254170.623521,21.8,12,0.55,133.325,0,0,1,2,0,11,54.8,0,com.netease.onmyoji.huawei,"SurfaceView - com.netease.onmyoji.huawei/com.netease.onmyoji.VideoPlayer#0"
254140.561396,254140.594647,60,2,0.033,16.649,0,0,0,0,0,0,100,1,com.huawei.android.launcher,"Splash Screen com.tencent.qqlive#0"
254232.090253,254232.473993,39.1,15,0.384,100.046,0,0,1,1,0,5,77.96,1,com.netease.onmyoji.huawei,"SurfaceView - GestureNavAnim#0"
254170.140117,254170.756781,30,1,0.033,33.335,0.583,1,0,0,0,1,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.VideoPlayer#0"
254171.723644,254171.740295,60,1,0.017,16.651,0,0,0,0,0,1,100,1,com.netease.onmyoji.huawei,"com.huawei.hms.game.welcome#0"
254165.956398,254233.224629,59.9,3,0.05,16.694,67.218,1,0,0,0,1,99.9,1,com.netease.onmyoji.huawei,"com.huawei.android.FloatTasks.views.FloatView#0"
254160.986908,254162.454448,59.9,5,0.083,16.735,1.384,1,0,0,0,2,99.9,1,com.tencent.qqlive,"com.huawei.android.FloatTasks.views.FloatView#0"
254147.347619,254152.233230,16.4,3,0.183,150.008,4.702,1,1,0,0,3,46.4,1,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254162.787966,254300.598731,54,18,0.334,50.031,137.477,4,0,1,0,3,93.61,1,com.huawei.android.launcher,"com.huawei.android.FloatTasks.views.FloatView#0"
254142.978968,254142.995633,60,1,0.017,16.665,0,0,0,0,0,0,100,1,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#1"
254290.906100,254291.406467,8,4,0.5,216.9,0,0,3,0,0,3,81.72,0,com.comic.manhuatai,"com.comic.manhuatai/com.wbxm.icartoon.ui.CoverActivity#0"
254280.963376,254281.196898,60,14,0.234,16.779,0,0,0,0,0,5,100,1,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.MainActivity#0"
254279.228393,254280.712610,28.2,8,0.283,166.883,1.201,1,1,0,0,3,58.93,1,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.SplashActivity#0"
254143.312447,254152.449951,12,3,0.25,216.771,8.887,2,1,0,0,0,37.89,1,com.tencent.qqlive,"StatusBar#0"
254165.589462,254165.872995,42.3,12,0.284,100.117,0,0,1,0,0,4,81.44,1,com.netease.onmyoji.huawei,"SurfaceView - com.netease.onmyoji.huawei/com.netease.onmyoji.Launcher#0"
254254.557944,254339.795508,8,8,0.919,200.024,84.319,37,6,1,0,7,81.62,0,com.huawei.android.launcher,"StatusBar#0"
254261.562977,254266.667929,51.4,12,0.234,33.374,4.871,2,0,0,0,1,91.4,1,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254161.820771,254162.354372,60,2,0.033,17.367,0.5,1,0,0,0,1,100,0,com.tencent.qqlive,"com.huawei.android.FloatTasks.views.FloatView#0"
254232.073928,254232.240456,12,2,0.167,99.757,0,0,0,2,0,1,45,0,com.netease.onmyoji.huawei,"SurfaceView - GestureNavAnim#0"
254283.632574,254284.500108,12.7,11,0.868,450.476,0,0,2,0,0,3,35.32,0,com.qq.ac.android,"com.huawei.android.FloatTasks.views.FloatView#0"
254258.527515,254258.544165,60,1,0.017,16.65,0,0,0,0,0,0,100,1,com.huawei.android.launcher,"Splash Screen com.qiyi.video#0"
254313.761399,254339.912271,7,3,0.385,166.902,25.766,20,2,1,0,20,82.98,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254289.371921,254289.387964,62,1,0.016,16.043,0,0,0,0,0,1,100,1,com.huawei.android.launcher,"Splash Screen com.comic.manhuatai#0"
254135.576348,254233.458121,22.5,3,0.133,83.321,97.748,2,0,1,0,2,60.17,1,com.huawei.android.launcher,"GestureNavBottom#0"
